DEPT,SP,CALM,CALD,CALN,GR,MINV,MNOR,LWTLB,DRHO,SFL,RHOB,NPLS,PE,CILD,ILD,DPLS,PIRM
2971.5,-35.7,8.68,8.9,8.9,24.62,6.28,10.03,978.77,0.03,17.01,2.5,15.65,3.37,193.82,5.16,12.55,5.96
2972.0,-35.43,8.68,8.9,8.9,26.22,6.08,9.9,971.91,0.02,18.91,2.48,16.78,3.69,200.77,4.98,13.63,5.68
2972.5,-35.57,8.68,8.9,8.9,25.66,5.88,9.82,964.64,0.02,19.04,2.47,15.77,3.7,225.69,4.43,13.79,5.06
2973.0,-36.23,8.68,8.9,8.9,22.91,6.15,10.05,960.49,0.02,16.4,2.48,13.12,3.55,273.74,3.65,13.74,4.17
2973.5,-37.19,8.69,8.88,8.89,22.06,6.39,10.15,960.7,0.01,13.09,2.45,12.2,3.26,341.08,2.93,15.11,3.26
2974.0,-38.07,8.69,8.9,8.87,21.39,6.9,10.48,966.25,0.02,10.48,2.43,13.73,2.89,429.56,2.33,16.56,2.49
2974.5,-38.75,8.68,8.91,8.89,23.24,6.9,10.61,974.37,0.02,8.24,2.42,16.18,2.75,529.7,1.89,17.24,1.93
2975.0,-39.54,8.68,8.91,8.87,26.39,6.68,9.98,980.45,0.02,6.31,2.4,19.57,2.84,627.3,1.59,18.3,1.57
2975.5,-40.5,8.68,8.91,8.89,25.21,5.88,8.53,981.48,0.01,5.12,2.36,24.76,3.06,716.17,1.4,20.39,1.36
2976.0,-41.31,8.68,8.91,8.9,22.93,5.38,7.33,977.99,0.02,4.78,2.34,28.71,3.11,796.07,1.26,21.69,1.26
2976.5,-41.75,8.68,8.91,8.9,21.07,5.25,7.07,972.38,0.04,5.05,2.34,29.44,2.95,859.5,1.16,21.89,1.25
2977.0,-41.81,8.68,8.91,8.89,20.42,5.39,7.48,965.01,0.06,5.55,2.34,28.72,2.79,893.5,1.12,21.82,1.29
2977.5,-41.55,8.68,8.9,8.87,20.39,5.57,7.91,956.32,0.06,5.88,2.33,28.71,2.77,886.03,1.13,22.36,1.37
2978.0,-41.09,8.68,8.88,8.89,21.73,5.35,8.04,947.16,0.05,5.91,2.31,28.57,2.86,836.37,1.2,23.13,1.48
2978.5,-40.49,8.68,8.9,8.9,23.91,5.25,7.89,939.64,0.04,5.98,2.31,27.01,2.84,756.05,1.32,23.23,1.61
2979.0,-39.74,8.68,8.91,8.9,24.48,5.06,7.65,937.05,0.03,7.01,2.32,27.02,2.69,660.89,1.51,22.57,1.81
2979.5,-39.1,8.68,8.9,8.9,24.15,5.26,7.66,940.04,0.04,10.1,2.35,28.31,2.53,570.8,1.75,21.29,2.11
2980.0,-38.69,8.68,8.91,8.92,22.63,5.71,8.61,945.89,0.04,15.03,2.39,27.27,2.5,490.41,2.04,18.5,2.56
